Trial,CurrentMemorySetSize,TimeBetweenShapes,ShapeDuration,TrialType,CurrentScore,MaxScore_Trial,MaxScore_Total,Shape_1_DraggedTo,Shape_1_Score,Shape_1_Placed,Shape_1_CorrectShape,Shape_1_CorrectPosition,Shape_1_CorrectColors,Shape_1_CorrectShapes,Shape_2_DraggedTo,Shape_2_Score,Shape_2_Placed,Shape_2_CorrectShape,Shape_2_CorrectPosition,Shape_2_CorrectColors,Shape_2_CorrectShapes,Shape_3_DraggedTo,Shape_3_Score,Shape_3_Placed,Shape_3_CorrectShape,Shape_3_CorrectPosition,Shape_3_CorrectColors,Shape_3_CorrectShapes,Shape_4_DraggedTo,Shape_4_Score,Shape_4_Placed,Shape_4_CorrectShape,Shape_4_CorrectPosition,Shape_4_CorrectColors,Shape_4_CorrectShapes,FinalScore,date,frameRate,expName,session,participant,
0,2,1.0,0.8,Practice,45,45,45,9,15,5,5,9,5,5,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
,,,,,,,,,,,,,,,12,30,6,6,12,5,6,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
1,2,0.6,0.7,Practice,90,45,90,0,15,5,5,0,5,5,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
,,,,,,,,,,,,,,,4,30,1,1,4,1,5,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
2,2,0.2,0.6,Practice,135,45,135,1,15,7,7,1,5,7,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
,,,,,,,,,,,,,,,7,30,11,11,7,9,7,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
3,2,1.0,0.8,Practice,180,45,180,9,15,3,3,9,1,7,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
,,,,,,,,,,,,,,,5,30,13,13,5,13,5,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
4,2,0.6,0.7,Practice,200,45,225,12,15,8,8,12,9,4,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
,,,,,,,,,,,,,,,0,5,14,15,0,13,7,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
5,2,0.2,0.6,Practice,245,45,270,2,15,2,2,2,1,6,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
,,,,,,,,,,,,,,,15,30,7,7,15,5,7,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
0,2,1.0,0.8,ExperimentalTrials,45,45,45,10,15,14,14,10,13,6,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
,,,,,,,,,,,,,,,11,30,12,12,11,13,4,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
1,2,0.6,0.7,ExperimentalTrials,90,45,90,1,15,8,8,1,9,4,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
,,,,,,,,,,,,,,,15,30,0,0,15,1,4,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
2,2,0.2,0.6,ExperimentalTrials,135,45,135,15,15,8,8,15,9,4,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
,,,,,,,,,,,,,,,10,30,12,12,10,13,4,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
3,2,1.0,0.8,ExperimentalTrials,180,45,180,4,15,2,2,4,1,6,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
,,,,,,,,,,,,,,,1,30,4,4,1,5,4,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
4,2,0.6,0.7,ExperimentalTrials,225,45,225,15,15,0,0,15,1,4,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
,,,,,,,,,,,,,,,8,30,11,11,8,9,7,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
5,2,0.2,0.6,ExperimentalTrials,270,45,270,10,15,1,1,10,1,5,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
,,,,,,,,,,,,,,,8,30,12,12,8,13,4,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
6,3,1.0,1.0,ExperimentalTrials,375,105,375,13,15,6,6,13,5,6,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
,,,,,,,,,,,,,,,14,30,2,2,14,1,6,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
,,,,,,,,,,,,,,,,,,,,,,1,60,10,10,1,9,6,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
7,3,0.6,0.9,ExperimentalTrials,395,105,480,15,15,13,13,15,13,5,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
,,,,,,,,,,,,,,,11,5,14,15,11,13,7,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
,,,,,,,,,,,,,,,,,,,,,,5,0,15,14,4,13,6,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
8,3,0.2,0.8,ExperimentalTrials,420,105,585,8,15,11,11,8,9,7,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
,,,,,,,,,,,,,,,15,5,10,8,15,9,4,,,,,,,,,,,,,,,,2016_Nov_14_1456,60.0306445146,Shapebuilder_8_8_2016,001,ellie,
