Trial,CurrentMemorySetSize,TimeBetweenShapes,ShapeDuration,TrialType,CurrentScore,MaxScore_Trial,MaxScore_Total,Shape_1_DraggedTo,Shape_1_Score,Shape_1_Placed,Shape_1_CorrectShape,Shape_1_CorrectPosition,Shape_1_CorrectColors,Shape_1_CorrectShapes,Shape_2_DraggedTo,Shape_2_Score,Shape_2_Placed,Shape_2_CorrectShape,Shape_2_CorrectPosition,Shape_2_CorrectColors,Shape_2_CorrectShapes,Shape_3_DraggedTo,Shape_3_Score,Shape_3_Placed,Shape_3_CorrectShape,Shape_3_CorrectPosition,Shape_3_CorrectColors,Shape_3_CorrectShapes,Shape_4_DraggedTo,Shape_4_Score,Shape_4_Placed,Shape_4_CorrectShape,Shape_4_CorrectPosition,Shape_4_CorrectColors,Shape_4_CorrectShapes,FinalScore,date,frameRate,expName,session,participant,
0,2,1.0,0.8,Practice,45,45,45,11,15,9,9,11,9,5,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_16_1306,60.0240030474,Shapebuilder_8_8_2016,001,sarah,
,,,,,,,,,,,,,,,1,30,13,13,1,13,5,,,,,,,,,,,,,,,,2016_Nov_16_1306,60.0240030474,Shapebuilder_8_8_2016,001,sarah,
1,2,0.6,0.7,Practice,90,45,90,8,15,14,14,8,13,6,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_16_1306,60.0240030474,Shapebuilder_8_8_2016,001,sarah,
,,,,,,,,,,,,,,,0,30,12,12,0,13,4,,,,,,,,,,,,,,,,2016_Nov_16_1306,60.0240030474,Shapebuilder_8_8_2016,001,sarah,
2,2,0.2,0.6,Practice,135,45,135,14,15,10,10,14,9,6,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_16_1306,60.0240030474,Shapebuilder_8_8_2016,001,sarah,
,,,,,,,,,,,,,,,12,30,6,6,12,5,6,,,,,,,,,,,,,,,,2016_Nov_16_1306,60.0240030474,Shapebuilder_8_8_2016,001,sarah,
3,2,1.0,0.8,Practice,180,45,180,7,15,14,14,7,13,6,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_16_1306,60.0240030474,Shapebuilder_8_8_2016,001,sarah,
,,,,,,,,,,,,,,,1,30,1,1,1,1,5,,,,,,,,,,,,,,,,2016_Nov_16_1306,60.0240030474,Shapebuilder_8_8_2016,001,sarah,
4,2,0.6,0.7,Practice,225,45,225,7,15,1,1,7,1,5,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_16_1306,60.0240030474,Shapebuilder_8_8_2016,001,sarah,
,,,,,,,,,,,,,,,13,30,6,6,13,5,6,,,,,,,,,,,,,,,,2016_Nov_16_1306,60.0240030474,Shapebuilder_8_8_2016,001,sarah,
5,2,0.2,0.6,Practice,270,45,270,4,15,9,9,4,9,5,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_16_1306,60.0240030474,Shapebuilder_8_8_2016,001,sarah,
,,,,,,,,,,,,,,,13,30,6,6,13,5,6,,,,,,,,,,,,,,,,2016_Nov_16_1306,60.0240030474,Shapebuilder_8_8_2016,001,sarah,
0,2,1.0,0.8,ExperimentalTrials,45,45,45,14,15,8,8,14,9,4,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_16_1306,60.0240030474,Shapebuilder_8_8_2016,001,sarah,
,,,,,,,,,,,,,,,1,30,10,10,1,9,6,,,,,,,,,,,,,,,,2016_Nov_16_1306,60.0240030474,Shapebuilder_8_8_2016,001,sarah,
1,2,0.6,0.7,ExperimentalTrials,90,45,90,10,15,3,3,10,1,7,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_16_1306,60.0240030474,Shapebuilder_8_8_2016,001,sarah,
,,,,,,,,,,,,,,,13,30,15,15,13,13,7,,,,,,,,,,,,,,,,2016_Nov_16_1306,60.0240030474,Shapebuilder_8_8_2016,001,sarah,
2,2,0.2,0.6,ExperimentalTrials,135,45,135,9,15,9,9,9,9,5,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_16_1306,60.0240030474,Shapebuilder_8_8_2016,001,sarah,
,,,,,,,,,,,,,,,6,30,1,1,6,1,5,,,,,,,,,,,,,,,,2016_Nov_16_1306,60.0240030474,Shapebuilder_8_8_2016,001,sarah,
3,2,1.0,0.8,ExperimentalTrials,180,45,180,15,15,14,14,15,13,6,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_16_1306,60.0240030474,Shapebuilder_8_8_2016,001,sarah,
,,,,,,,,,,,,,,,2,30,4,4,2,5,4,,,,,,,,,,,,,,,,2016_Nov_16_1306,60.0240030474,Shapebuilder_8_8_2016,001,sarah,
4,2,0.6,0.7,ExperimentalTrials,225,45,225,12,15,13,13,12,13,5,,,,,,,,,,,,,,,,,,,,,,,2016_Nov_16_1306,60.0240030474,Shapebuilder_8_8_2016,001,sarah,
,,,,,,,,,,,,,,,6,30,8,8,6,9,4,,,,,,,,,,,,,,,,2016_Nov_16_1306,60.0240030474,Shapebuilder_8_8_2016,001,sarah,
